id,name
0,"machine learning"
1,"genetic algorithm"
2,classification
3,"deep learning"
4,"data mining"
5,"cloud computing"
6,"support vector machine"
7,clustering
9,security
10,optimization
11,"feature selection"
12,"neural network"
13,"multiagent system"
14,simulation
15,"neural networks"
16,"artificial intelligence"
17,ontology
18,"wireless sensor network"
19,"logic program"
20,"virtual reality"
21,"particle swarm optimization"
22,privacy
23,scheduling
24,"face recognition"
25,"logic programming"
26,"augmented reality"
28,"big data"
29,"information retrieval"
30,"natural language processing"
31,"feature extraction"
32,"wireless sensor networks"
33,"independent component analysis"
34,"mobile robot"
35,"business process"
36,"fuzzy logic"
37,"image segmentation"
38,"image processing"
40,segmentation
41,"convolutional neural network"
42,"temporal logic"
43,"hash function"
44,usability
45,"computer vision"
46,"reinforcement learning"
47,evaluation
49,"cellular automaton"
50,"genetic algorithms"
51,"turing machine"
52,"access control"
53,"mobile agent"
54,"social media"
55,"regular language"
56,"semantic web"
57,"nash equilibrium"
58,"sensor network"
59,"association rule"
60,"description logic"
61,"genetic programming"
63,"sentiment analysis"
64,visualization
65,authentication
66,"boolean function"
67,"approximation algorithm"
68,"image retrieval"
69,"virtual machine"
70,"information system"
71,"knowledge management"
72,"social networks"
73,"intrusion detection"
74,"multi-agent systems"
75,"local search"
76,"pattern recognition"
77,"modal logic"
78,"bayesian network"
79,"anomaly detection"
80,"energy efficiency"
81,"information theory"
82,performance
83,"mutual information"
84,"query processing"
85,"constraint satisfaction problem"
86,"ubiquitous computing"
87,"global optimization"
88,"random oracle"
89,"social network"
90,"user experience"
91,"block cipher"
92,"gaussian mixture model"
93,"artificial neural network"
94,fpga
95,"game theory"
96,"evolutionary algorithm"
97,"digital library"
98,"smart card"
99,"recommender system"
100,trust
101,"operating system"
102,"sensor node"
103,"model checking"
104,svm
105,"linear temporal logic"
106,"machine translation"
107,"multi-objective optimization"
108,complexity
109,"inference rule"
110,"parallel composition"
111,e-learning
112,"convolutional neural networks"
113,"polynomial time"
114,modeling
115,"data structure"
116,"text mining"
117,verification
118,"performance evaluation"
119,"knowledge representation"
120,"planar graph"
121,"dynamic programming"
122,learning
123,"speech recognition"
124,"fault tolerance"
125,"communication network"
126,reliability
127,"simulated annealing"
128,collaboration
129,design
130,"software architecture"
131,stability
132,"software engineering"
133,"signature scheme"
134,prediction
135,"random forest"
136,"mobile device"
137,qos
138,"differential evolution"
139,"object detection"
140,"service composition"
141,education
142,"linear programming"
143,"social network analysis"
144,uncertainty
145,"resource description framework"
147,routing
148,"inductive logic programming"
149,"abstract interpretation"
150,iot
151,"computational complexity"
152,gpu
153,"time series"
154,"parallel computing"
155,"support vector machines"
156,"execution time"
157,"normal form"
158,rfid
159,"decision tree"
160,accessibility
161,"bipartite graph"
162,"evolutionary algorithms"
163,"query language"
164,"artificial neural networks"
165,cryptography
166,"object recognition"
167,"computational geometry"
168,"collaborative filtering"
170,"recommender systems"
171,"web services"
172,"principal component analysis"
173,cryptanalysis
174,ontologies
175,"parallel algorithm"
176,robustness
177,"resource allocation"
178,"combinatorial optimization"
179,"competitive ratio"
180,"function symbol"
182,"cognitive radio"
183,"information extraction"
184,"regular expression"
185,"proof system"
186,"shared memory"
187,"swarm intelligence"
