ID,title,venue,year,num_citations
21366,"Improving client throughput with multi-hop relaying in wireless mesh networks","Improving client throughput with multi-hop relaying in wireless mesh networks ",2008,2
21805,"On system rollback and totalized fields: An algebraic approach to system change","The Journal of Logic and Algebraic Programming",2011,6
27071,"Hierarchical Back-Face Culling",,1996,22
43295,"Confocal laser scanning ophthalmoscope. Reproducibility of optic nerve head topographic measurements with the confocal laser scanning ophthalmoscope.",Ophthalmology,1993,159
57330,"Spectral Sparsification in Dynamic Graph Streams",APPROX-RANDOM,2013,31
63752,"Computational Challenges in Propositional Reasoning and Search",,2007,2
69399,"Automatically proving the correctness of program analyses and transformations",,2006,3
78665,"Refactoring tools: report on the 1st workshop WRT at ECOOP 2007","ECOOP'07 Proceedings of the 2007 conference on Object-oriented technology",2007,0
93138,"An Architectural Characterization of Prolog Execution",,1991,0
93644,"Fixed Points in Metric Spaces",,1986,0
120828,"A corpus-based synthesizer.",ICSLP,1992,83
138457,"Parallel algorithms for deblurring of MR images.","Computers and Their Applications",1998,3
140362,"Constructing a Corpus-based Ontology Using Model Bias.","FLAIRS Conference",2006,18
144650,"Proceedings for the Army Science Conference (24th) Held on 29 November-2 December 2004 in Orlando, Florida (CD-ROM)",,2004,0
149980,"UNT: A Supervised Synergistic Approach to Semantic Text Similarity","*SEM 2012: The First Joint Conference on Lexical and Computational Semantics -- Volume 1: Proceedings of the main conference and the shared task, and Volume 2: Proceedings of the Sixth International Workshop on Semantic Evaluation (SemEval 2012)",2012,27
160012,"Guest Editor's Introduction Real Machines: Design Choices/Engineering Trade-Offs","IEEE Computer",1989,2
162256,"Von Mises-Fisher Clustering Models","Proceedings of The 31st International Conference on Machine Learning",2014,97
171057,"An Adaptive Memory Management Protocol for Time Warp Simulation.","measurement and modeling of computer systems",1994,3
185553,"Simultaneously resettable arguments of knowledge","TCC'12 Proceedings of the 9th international conference on Theory of Cryptography",2012,22
198536,"2008 International Conference on Parallel Processing September 8-12, 2008 Portland, Oregon Exploring Parallel I/O Concurrency with Speculative Prefetching.",ICPP,2008,1
208461,"Using online reviews by restaurant patrons to identify unreported cases of foodborne illness - New York City, 2012-2013.","Morbidity and Mortality Weekly Report",2014,64
218636,"Interconnection Architectures for High-Performance Object-Based File Systems.",MSST,2004,0
221245,"Efficient support for range queries in DHT-based systems",,2003,3
224605,"Energy Measurement of SPDY Protocol on Mobile Platform",,2014,0
230160,"Integrating provenance into an operational data product information system","IPAW'12 Proceedings of the 4th international conference on Provenance and Annotation of Data and Processes",2012,0
234105,"Learning to Merge Word Senses","Proceedings of the 2007 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning (EMNLP-CoNLL)",2007,110
235611,"VIRTUALLY PERFECT TIME SHARING IN DUAL-TASK PERFORMANCE:",,2016,1
245032,"A software architecture for multithreaded and multiprotocol distributed applications",,1998,0
245881,"Bounds on 2-Query Locally Testable Codes with Affine Tests.","Electronic Colloquium on Computational Complexity",2009,1
264289,"Pseudo-random thoughts: CHI, SIGCHI, and the Bulletin","ACM Sigchi Bulletin - A Supplement To Interactions",2002,0
267417,"Continuation Semantics in Typed Lambda-Calculi (Summary)","Proceedings of the Conference on Logic of Programs",1985,135
269549,"Predicting a Scientific Communityâ€™s Response to an Article","Proceedings of the 2011 Conference on Empirical Methods in Natural Language Processing",2011,78
277504,"RC6 as the AES.","AES Candidate Conference",2000,24
279207,"Research in Advanced Environments",,2001,0
287008,"A Compiler Framework for Supporting Speculative Multicore Processors","ACSAC '07 Proceedings of the 12th Asia-Pacific conference on Advances in Computer Systems Architecture",2007,0
291511,"Putting Some Weakly Context-Free Formalisms in Order","Proceedings of the Sixth International Workshop on Tree Adjoining Grammar and Related Frameworks (TAG+6)",2002,6
301654,"Optical coherence tomography using femtosecond lasers","Springer series in chemical physics",1998,0
309286,"Learning embeddings for indexing, retrieval, and classification, with applications to object and shape recognition in image databases",,2006,11
309833,"Bayesian nonparametric models of sparse and exchangeable random graphs.",,2014,14
317670,"A Minimum Description Length Technique for Semi-Supervised Time Series Classification","IRI (best papers)",2014,10
318662,"Learning classical physics","Machine learning: a guide to current research",1986,4
344302,"A Workstation in Live Performance: Composed Improvisation.",ICMC,1986,3
361876,"Rational and convergent learning in stochastic games","IJCAI'01 Proceedings of the 17th international joint conference on Artificial intelligence - Volume 2",2001,394
368576,"A Bayesian network for mammography.","Proceedings / AMIA ... Annual Symposium. AMIA Symposium",2000,101
380549,"Evaluating the Use of Project Glossaries in Automated Trace Retrieval.","Software Engineering Research and Practice",2008,9
398591,"Weak Inclusion Systems: Part Two","Journal of Universal Computer Science",2000,6
400899,"Big Problems for Artificial Intelligence - Guest Editorial.","Ai Magazine",1988,0
403312,"The Influence of Source and Cost of Information Access on Correct and Errorful Interactive Behavior","Proceedings of the Annual Meeting of the Cognitive Science Society",2000,2
405070,"Quantitative Analysis and Comparison of Endpoint Detection Based on Multiple Wavelength Analysis",,2002,13
421218,"Recent Psychophysical and Neural Research in Shape Recognition",,2007,13
442490,"Towards A Universal Tool For NLP Resource Acquisition","Proceedings of the Second International Conference on Language Resources and Evaluation (LREC’00)",2000,7
442524,"Temporal Query Languages.","Encyclopedia of Database Systems",2009,13
449364,"Optimal Link Bombs are Uncoordinated.",AIRWeb,2005,33
454695,"Efficiency and Stability Issues in the Numerical Computation of Fourier Transforms and Convolutions on the 2-Sphere",,1994,4
476394,"Why do migrations fail and what can we do about it","LISA'11 Proceedings of the 25th international conference on Large Installation System Administration",2011,4
478671,"Learning from Imbalanced Data: Evaluation Matters",,2012,56
489690,"Speedup Analysis of Centralized Parallel Heuristic Search Algorithms.","ICPP (3)",1990,6
493721,"On mining closed sets in multi-relational data","IJCAI'07 Proceedings of the 20th international joint conference on Artifical intelligence",2007,30
496722,"Photometric Sampling: A Method for Determining Shape and Reflectance of Surfaces","Machine Vision for Inspection and Measurement",1989,3
500098,"Globus® Toolkit 4, First Edition: Programming Java Services (The Morgan Kaufmann Series in Networking)",,2005,65
506101,"Graph partitioning and its applications to scientific computing",,1996,7
516995,"Supplemental Versus Essential Use of Computing Devices in the Classroom: An Analysis",,2013,3
518119,"Softspec: Software-based Speculative Parallelism",,2000,30
519944,"Geometric Methods and Applications",,2011,124
520826,"More than speed? an empirical study of touchscreens and body awareness on an object manipulation task","HCII'11 Proceedings of the 14th international conference on Human-computer interaction: interaction techniques and environments - Volume Part II",2011,5
539049,"Qualitative Reasoning about Perception and Belief.","IJCAI (1)",1997,7
548779,"Modeling Protein Flexibility for Structure-Based Active Site Redesign",,2002,0
554285,"Second-kind integral formulations of the capacitance problem","Advances in Computational Mathematics",1998,29
556334,"Usability and accessibility in consumer health informatics current trends and future challenges.","American Journal of Preventive Medicine",2011,115
592020,"An Approach to Interactive Co-segmentation",,2011,1
606208,"Range Scaling of Wirelessly Powered Sensor Systems",,2013,13
609356,"Irregular Solutions of an Ill-Posed Problem.",CSC,2006,1
630400,"Rule indexing implementations in database systems",,1986,11
631426,"Real-time Measurement of Arm's Mechanical Impedance with Augmented Reality Illustration","EMBC 2012",2012,7
634705,"Software Caching in a Parallel I/O Runtime System to Support Irregular Applications",,1998,0
636652,"Physical Input and Output","Computer Programming and Architecture (Second Edition)
The VAX",1988,0
637249,"Intraoperative three-dimensional fluoroscopic cholangiography",Hepato-gastroenterology,2006,6
649244,"Width of Points in the Streaming Model","symposium on discrete algorithms",2016,4
659821,"Open Nested Transactions: Semantics and Support",,2006,138
706544,"Improving Accessibility of Transaction-centric Web Objects.",SDM,2010,6
736319,"COMBINING THE DATA BASE AND FORMAL LOGIC APPROACHES","Foundations of Decision Support Systems",1981,0
740415,"The Nature of Statistical Learning",Theory,1995,3587
749729,"Nusmv version 2: an opensource tool for symbolic model checking",CAV,2002,518
755599,"Lessons Learned from Teaching Open Source Software Development","10th IFIP International Conference on Open Source Systems (OSS)",2014,14
770871,"Identifying Deviations from Usual Medical Care using a Statistical Approach.","AMIA ... Annual Symposium proceedings. AMIA Symposium",2010,7
770958,"Supporting Multi-Dimensional Trustworthiness for Grid Workflows.","DELOS Workshop: Digital Library Architectures",2004,1
777162,"Object-oriented Programming Languages Need Well-founded Contracts",,2001,6
780449,"QUANTIFICATION OF NORMAL BRAIN AGING USING FULLY DEFORMABLE REGISTRATION",,2012,0
788209,"Experimental Research Platform for Structural Health Monitoring",,2013,2
791572,"Parallelizing the spectral transform method: A comparison of alternative parallel algorithms",PPSC,1993,6
800331,"Multilayer cache partitioning for multiprogram workloads","Euro-Par'11 Proceedings of the 17th international conference on Parallel processing - Volume Part I",2011,2
809704,"PHOTOMETRIC STUDY OF A W UMa TYPE CONTACT BINARY AH CNC","Journal of Astronomy and Space Sciences",2003,1
833668,"Modeling the integration of salamander vision and behavior",,2009,0
839768,"Edinburgh System Descriptionfor the 2005 NIST MT Evaluation",,2005,18
851276,"Robust Model-Free Tracking of Non-Rigid Shape",,2003,1
854284,"Secondary Key Access Methods",,1998,0
858786,"Bounds on the Inefficiency of Sequential Auctions",,2007,0
872221,"Effect of Metacognitive Support on Student Behaviors in Learning by Teaching Environments","Proceedings of the 2007 conference on Artificial Intelligence in Education: Building Technology Rich Learning Contexts That Work",2007,3
883526,"An occlusion-based representation of shape for viewpoint recovery","ECAI '92 Proceedings of the 10th European conference on Artificial intelligence",1992,0
900251,"Optimizing Data Acquisition in Wireless Sensor Networks",,2003,0
907471,"PROTEAN: A New Method for Deriving Solution Structures of Proteins",,2007,2
917487,"Report on the Experimental Language X10",,2006,23
917503,"On piecewise linear approximation of quadratic functions.","Journal for Geometry and Graphics",2000,29
938295,"Signal Processing for Audio HCI","Handbook of Signal Processing Systems",2010,1
960032,"Alerting in Database Systems: Concepts and Techniques.",,1976,1
964845,"A Bayesian Approach to Data Assimilation",,2005,8
968023,"Chapter 57 – Serum Proteomic Profiling and Analysis","Measuring Immunity
Basic Biology and Clinical Assessment",2005,1
972044,"A dataflow graph transformation language and query rewriting system for RDF ontologies","SSDBM'12 Proceedings of the 24th international conference on Scientific and Statistical Database Management",2012,4
976710,"Some Separability Problems in the Plane.",EuroCG,2000,6
997982,"An o *(1.84 k) parameterized algorithm for the multiterminal cut problem","FCT'13 Proceedings of the 19th international conference on Fundamentals of Computation Theory",2013,2
1030918,"Biology Workbench: A Computing and Analysis Environment for the Biological Sciences",,2002,6
1032261,"Synthesis and verification of digital circuits using functional simulation and boolean satisfiability",,2008,1
1032800,"Types for Flexible Objects","Asian Symposium on Programming Languages and Systems",2014,4
1035484,"Standing Friedel waves","Bulletin of the American Physical Society",2008,0
1037598,"Intraoperative „Augmented-reality-Visualisierung“",Unfallchirurg,2012,3
1045441,"Rooted-tree schemata in genetic programming","Advances in genetic programming",1999,24
1072239,"OSUIF: SUIF 2.0 With Objects",,2007,0
1078805,"A framework for the design and synthesis of coordinated social systems","SocInfo'12 Proceedings of the 4th international conference on Social Informatics",2012,0
1083924,"Computational Metaphor Identification in Communities of Blogs.",ICWSM,2008,3
1089229,"Applications of Active Databases","Active Database Systems: Triggers and Rules For Advanced Database Processing",1996,1
1089315,"Automatic annotation of radiological observations in liver CT images.","AMIA ... Annual Symposium proceedings. AMIA Symposium",2012,10
1107217,"Remote End-to-End Voting Scheme",,2014,1
1112477,"Non-control-data attacks are realistic threats","SSYM'05 Proceedings of the 14th conference on USENIX Security Symposium - Volume 14",2005,609
1114769,"Recognizing Patterns for Software Development Prediction and Evaluation",,1993,3
1118590,"The Fragility of Adversary Definitions in Cryptographic Protocols",,2008,0
1119758,"An application of distributed solid modeling: feature recognition","An application of distributed solid modeling: feature recognition ",1994,1
1123419,"Levels of pattern description in learning","IJCAI'77 Proceedings of the 5th international joint conference on Artificial intelligence - Volume 2",1977,20
1125912,"Primal Dividing and Dual Pruning: Output-Sensitive Construction of 4-d Polytopes and 3-d Voronoi Diagrams",,2007,6
1127893,"Recognizing general curved objects efficiently","Geometric invariance in computer vision",1992,74
1132801,"Understanding coreference in a system for solving physics word problems",PhDT,1989,5
1133003,"Investigations into Multi-Scale Retinex",,1998,124
1152574,"Energy savings in privacy-preserving computation offloading with protection by homomorphic encryption","HotPower'10 Proceedings of the 2010 international conference on Power aware computing and systems",2010,11
1153890,"Open assessment of the safety and efficacy of thioridazine in the treatment of patients with borderline personality disorder.","Psychopharmacology Bulletin",1989,23
1185165,"Convex Hulls and Related Problems in Data Streams",,2008,3
1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems","AAMAS06 AAMAS '06 - 5th International Joint Conference on Autonomous Agents and Multi-agent Systems 2006",2006,0
1221552,"CrowdMAC: a crowdsourcing system for mobile access","Middleware '12 Proceedings of the 13th International Middleware Conference",2012,60
1223409,"Aggregating preferences in multi-issue domains by using maximum likelihood estimators","AAMAS '10 Proceedings of the 9th International Conference on Autonomous Agents and Multiagent Systems: volume 1 - Volume 1",2010,62
1225650,"Implementation of a Perfect Hash Function Scheme",,1989,5
1227441,"A National Repository for Design and Process Planning",,1997,10
1236440,"Achieving Participatory Privacy Regulation: Guidelines for CENS Urban Sensing","Center for Embedded Network Sensing",2008,4
1248126,"Modeling Object-Oriented Languages",,1996,0
1248444,"Tractability through Theory Approximation",,1992,2
1274501,"An analysis of the internet worm",ESEC,1989,26
1279312,"Bayes-optimal reinforcement learning for discrete uncertainty domains","AAMAS '12 Proceedings of the 11th International Conference on Autonomous Agents and Multiagent Systems - Volume 3",2012,12
1284694,"A Thread in Time Saves Tabling Time.",JICSLP,1996,23
1296338,"Domain expert approximation through oracle learning.",ESANN,2005,2
1299801,"Mobile agents, DSM, coordination, and self-migrating threads: a Common Framework","DNCOCO'08 Proceedings of the 7th conference on Data networks, communications, computers",2008,0
1307934,"Bandsaw: Log-powered test scenario generation for distributed systems","The Work In Progress track of the 23rd ACM Symposium on Operating Systems Principles (SOSP)",2011,1
1308093,"Frames and OWL Side by Side",,2006,86
1311823,"Efficient Multi-Robot Localization Based on Monte Carlo Approximation",,2000,14
1315091,"Symptom management for schizophrenic agents","AAAI'96 Proceedings of the thirteenth national conference on Artificial intelligence - Volume 2",1996,4
1318347,"Planning for Manufacturabiliity Analysis","Automated Planning
Theory and Practice",2004,0
1328411,"Review - Implementation of Two Semantic Query Optimization Techniques in DB2 Universal Database.","international conference on management of data",2000,0
1336860,"Supervisory Control of Malicious Executables in Software Processes",,2005,0
1350589,"DON’T CANCEL MY BARCELONA TRIP : Adjusting autonomy of agent proxies in human organizations",,2004,4
1367232,"On the correlation of Internet flow characteristics",,2003,72
1367335,"An evaluation of using mutual information for selection of acoustic-features representation of phonemes for speech recognition","7th International Conference on Spoken Language Processing, ICSLP 2002",2002,9
1375176,"A Collaborative Digital Library for Children: A Descriptive Study of Children's Collaborative Behavior and Dialogue",,2003,13
1382853,"Obtaining First Solutions Faster in AND-OR Parallel Execution of Logic Programs.",NACLP,1989,13
1384677,"Dispute prevention and dispute resolution in networked health information technology","dg.o '09 Proceedings of the 10th Annual International Conference on Digital Government Research: Social Networks: Making Connections between Citizens, Data and Government",2009,3
1391546,"Discovering Causal Chains by Integrating Plan Recognition and Sequential Pattern Mining.","FLAIRS Conference",2004,0
1426347,"Other Complexity Classes and Measures","Algorithms and theory of computation handbook",2010,1
1437394,"Making Description Logic Based Knowledge Representation Systems More Usable.","Description Logics",1992,1
1449118,"A Hybrid Approach for QA Track Definitional Questions",TREC,2003,60
1458210,"On the Problem of Predicting Real World Characteristics from Virtual Worlds","Predicting Real World Behaviors from Virtual World Data @ SocialCom",2014,3
1467739,"Proceedings of the workshop on Rapid prototyping","Proceedings of the workshop on Rapid prototyping",1982,1
1497272,"Scoring an Interactive, Multimedia Performance Work",NIME,2008,0
