publication_id,keyword_id,score,pub_id,kw_id
21366,406,0.186815,p21366,k406
21366,846,0.190601,p21366,k846
21366,1379,0.363967,p21366,k1379
21366,6997,0.205363,p21366,k6997
21366,8857,0.196315,p21366,k8857
21366,13682,0.252344,p21366,k13682
21366,26673,0.143222,p21366,k26673
21366,56308,0.0985272,p21366,k56308
21366,59312,0.176985,p21366,k59312
21805,2309,0.00465382,p21805,k2309
21805,2600,0.561669,p21805,k2600
21805,6752,0.478437,p21805,k6752
21805,9278,0.0119003,p21805,k9278
21805,14444,0.00431969,p21805,k14444
21805,15377,0.00330455,p21805,k15377
21805,24075,0.00801736,p21805,k24075
21805,26383,0.00675612,p21805,k26383
21805,48584,0.629703,p21805,k48584
27071,3939,0.00363708,p27071,k3939
27071,9314,0.251208,p27071,k9314
27071,10435,0.250498,p27071,k10435
27071,11788,0.208498,p27071,k11788
27071,14621,0.00359393,p27071,k14621
27071,16014,0.350686,p27071,k16014
27071,18024,0.118258,p27071,k18024
27071,18389,0.00825946,p27071,k18389
27071,63223,0.309421,p27071,k63223
43295,3241,0.352231,p43295,k3241
43295,3990,0.263967,p43295,k3990
43295,5635,0.183598,p43295,k5635
43295,6632,0.365733,p43295,k6632
43295,8415,0.434211,p43295,k8415
43295,21631,0.229354,p43295,k21631
43295,29278,0.43835,p43295,k29278
43295,44877,0.1256,p43295,k44877
43295,63206,0.143398,p43295,k63206
57330,324,0.218982,p57330,k324
57330,4485,0.542724,p57330,k4485
57330,10050,0.404694,p57330,k10050
57330,12877,0.375342,p57330,k12877
57330,28586,0.00494221,p57330,k28586
57330,51158,0.212357,p57330,k51158
57330,63454,0.32465,p57330,k63454
57330,71854,0.220698,p57330,k71854
57330,73620,0.00463361,p57330,k73620
69399,1638,0.256606,p69399,k1638
69399,3539,0.362466,p69399,k3539
69399,4047,0.303663,p69399,k4047
69399,4132,0.32623,p69399,k4132
69399,5532,0.299943,p69399,k5532
69399,18246,0.606195,p69399,k18246
69399,20410,0.595746,p69399,k20410
69399,21360,0.410229,p69399,k21360
69399,24928,0.310077,p69399,k24928
78665,5554,0.000311063,p78665,k5554
78665,10498,0.00043803,p78665,k10498
78665,11344,-0.000261731,p78665,k11344
78665,13509,0.18647,p78665,k13509
78665,21420,-0.000387165,p78665,k21420
78665,24749,0.0830577,p78665,k24749
78665,26828,0.0235696,p78665,k26828
78665,27512,0.109282,p78665,k27512
78665,40541,-1.78339E-05,p78665,k40541
93138,925,0.289565,p93138,k925
93138,2173,0.345825,p93138,k2173
93138,7253,0.152151,p93138,k7253
93138,10435,0.329837,p93138,k10435
93138,12347,0.00492237,p93138,k12347
93138,16498,0.332747,p93138,k16498
93138,28338,0.205055,p93138,k28338
93138,38422,0.376536,p93138,k38422
93138,61676,0.35581,p93138,k61676
93644,2074,0.31366,p93644,k2074
93644,4764,0.340665,p93644,k4764
93644,7889,0.0122732,p93644,k7889
93644,11713,0.296838,p93644,k11713
93644,15210,0.325236,p93644,k15210
93644,21929,0.402846,p93644,k21929
93644,27350,0.301977,p93644,k27350
